[02Oct2025 00:00:08.533] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=85, y=64, z=33} BlockPos{x=85, y=65, z=33}
[02Oct2025 00:13:31.726] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -95.46109749095903] -> [439.1873019828385, 164.56154290497324, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:13:36.775] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -100.73094385998414] -> [453.4445211965531, 183.22474056423022, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:13:41.780] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -105.3774900292234] -> [467.74362599595923, 198.49295537159884, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:13:46.825] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -110.15857910663416] -> [482.141617699399, 209.0570906706603, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:13:51.875] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -112.11353866972404] -> [487.7626442476598, 211.06126499201247, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:13:56.875] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -110.63221135730537] -> [484.78680576109633, 217.21982486920638, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:14:01.924] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -111.54456758201444] -> [495.11532274570936, 219.3034119858972, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:14:06.926] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -105.95666864890369] -> [501.07766425194563, 219.30597979049168, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:15:03.974] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -106.96013777516782] -> [498.86603577435017, 219.30616949812116, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:15:08.975] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -102.1693523969071] -> [499.91793422585744, 219.30224572028843, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:15:13.977] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -88.05574470541755] -> [494.8123825049347, 219.28985416802198, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:15:19.027] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -78.8626301586628] -> [482.9359076600522, 219.28707241437303, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:15:24.077] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -76.34845000071194] -> [479.87425907363934, 219.28916908453388, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:15:29.078] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -69.72364282173778] -> [471.81674638612014, 219.289125199289, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:15:34.126] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -59.64684501361869] -> [461.2320129173626, 219.28806730811277, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:15:40.125] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -53.53907201210413] -> [454.7661258398148, 219.28823228160846, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:15:45.126] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -48.883518149017384] -> [449.7946465484646, 219.28772936575712, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:15:50.177] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -39.22938346718484] -> [439.57413132403593, 219.287468259233, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:15:55.207] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -33.250357820989265] -> [433.20726805298057, 219.28799227795437, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:16:00.228] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -25.715235504501702] -> [425.1971788712086, 219.28752749745456, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:16:05.234] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -15.792349613801338] -> [414.63724872764215, 219.28750539239786, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:16:10.279] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, -5.444230185847501] -> [403.64273998698525, 219.2874661194987, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:16:15.333] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 3.816675043653988] -> [393.80180426940206, 219.28747643574945, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:16:20.378] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 13.642983829542667] -> [383.30887814710155, 219.28698209239528, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:16:25.427] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 24.001006182306558] -> [372.3331598641852, 219.28684070051673, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:16:30.428] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 34.281850829679726] -> [361.37462195130416, 219.28690520249046, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:16:35.475] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 44.64947594886166] -> [350.33404905812654, 219.28695481060004, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:16:40.480] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 54.84046425450883] -> [339.48745979409654, 219.28699165448012, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:16:45.483] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 65.11607612172615] -> [328.5603730546787, 219.28699155811563, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:16:50.534] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 75.49488714630876] -> [317.5233957755103, 219.28699155976747, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:16:55.581] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 85.87346518705759] -> [306.48674472297574, 219.28699150997483, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:17:00.632] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 96.25204326878462] -> [295.4500936313256, 219.28699146019753, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:17:05.680] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 106.56039919030823] -> [284.4891268078257, 219.28698985723452, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:17:10.732] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 116.93897727576055] -> [273.45247570686234, 219.28698980745224, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:17:15.732] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 127.2490499026791] -> [262.48867378086044, 219.28698975799827, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:17:21.630] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 139.2231314184737] -> [249.78474935969425, 219.28668053104676, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:17:26.677] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 149.4895877203353] -> [238.8387650417616, 219.2865918767545, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:17:31.678] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 159.76540759563522] -> [227.91138768740794, 219.28659182546542, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:17:36.724] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 170.0803430750966] -> [216.95930083841085, 217.79932400386537, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:17:41.727] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 176.9953684507318] -> [209.56289330483278, 214.9131000504569, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:17:46.727] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 186.64640572952962] -> [199.2417435183666, 204.93577473185968, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:17:51.727] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 196.25963701680303] -> [188.98364029824734, 196.79759601196847, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:17:56.732] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 199.09208854480806] -> [185.90222230570677, 187.13621601409665, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:18:01.808] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 206.8562396397396] -> [177.602484113646, 177.0023862782427, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:18:06.827] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 216.87202033598498] -> [166.88974335362033, 166.9356512727348, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:18:11.828] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 227.0985346205129] -> [155.9487441349595, 157.6127969160481, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:18:16.877] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 232.0602926015854] -> [150.59405618533492, 147.7362751491159, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:18:21.925] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 232.6122096069157] -> [149.94121688231826, 137.63639353413876, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:18:26.927] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 232.64369367063046] -> [149.84246128611267, 127.63640620484375, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:18:31.977] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 110.0, 232.61542231962085] -> [149.80659716017544, 117.5364076988572, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:18:37.027] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 105.6364079255483, 232.58014374226332] -> [149.77818453498185, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:18:42.077] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 104.48726132470838, 232.57469768077135] -> [149.77386392839253, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:18:47.078] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 104.48843733051949, 237.960088416934] -> [151.07644392736256, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:18:52.079] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 104.49223587232655, 240.35642509349276] -> [147.40247872470357, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:18:57.130] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 104.48980961677843, 241.23984618485687] -> [138.8850644718536, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:19:02.178] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 104.48670663588659, 238.55324156327958] -> [126.2400617219655, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
